Roll,Background,Type,Description,Starting Talents,Starting Equipment,Notes
2,Golem,Hunter,An artificial construct animated by ancient mechanisms. You were built to serve a function that no longer exists or a master who is gone. You seek purpose.,Natural AR 1 (constructed body - no armor slot needed). Immune to poison and disease conditions. Repair with tools rather than healing (1 treasure of parts per slot instead of healer).,Relic power cell (x2). Tool kit. Heavy weapon of your creator's design. No rations needed.,"Exceptional background. Most settlements have never seen a Golem. Reactions will vary wildly. Cannot benefit from HEAL - use MEND or IRON instead."
3,Shaman,Caster,You were born sensitive to spirits - able to hear them speak and negotiate with them. Your community relied on you as their link to the spiritual world.,Spirit Sense (detect presence of spirits at will - 2-in-6 to commune briefly without casting). RING rune known at start.,Ritual focus (instrument/fetish/staff d6). Travelling clothes. Spirit vessel (one spirit already bound). 1 week rations.,"CHA governs MP. Spell list emphasizes nature elemental and spirit magic. Learns new runes by communing with spirits rather than research."
4,Delver,Hunter / Caster,You spent years learning the old systems - the locks security mechanisms and inscriptions of the ancient world. Someone paid you to get in and out of places.,Old-world Interface (2-in-6 to operate ancient mechanisms read rune inscriptions identify relic tech - treated as background warrant). Lockpicks (no slot).,Lockpicks. Crowbar. Dagger d4. Light armor AR 1. Relic data tablet. 2 weeks rations.,"Hunter: relies on skill and improvisation in combat. Caster: uses rune knowledge to interface with old-world magic directly. Either way the Delver is the party member who handles the puzzle rooms."
5,Criminal,Hunter,You survived by taking what you needed. Theft extortion smuggling - the specific trade varies but the skills translate.,Thief (d6 rolls for lockpicking stealth sleight of hand climbing. Stealth attacks: max damage + roll weapon die again vs AR normally).,Dagger d4 (x2). Dark clothes (counts as light armor AR 1 for stealth purposes only). Lockpicks. 50ft rope. 1 week rations. Small amount of coin (<1 treasure).,"No heavy armor. The criminal background does not specify lawful or chaotic - some thieves have codes others do not."
6,Ranger,Hunter / Caster,You know the wilderness - how to move through it survive in it and read what it tells you. Whether you were a scout a hunter or simply someone who preferred trees to walls.,Ranger (d6 rolls for wilderness survival tracking stealth in outdoor environments. Critical hit range expands to 19-20 against beasts).,Bow d6 + quiver. Short sword d4. Light armor AR 1. Hunting kit. 2 weeks rations.,"Hunter: the wilderness combat specialist. Caster: nature magic and spirit communion in the wild places. No heavy armor."
7,Mercenary,Hunter,You sold your skills to whoever paid. You have seen enough to know that most causes are equally valid and equally temporary.,Blade Dancer (melee ATK and DEF +1 with medium weapon) OR Archer/Gunner (ATK and damage +1 with chosen ranged weapon).,Sword d6. Medium armor AR 2. Shield. 1 week rations. Small purse (<1 treasure).,Hunter only. The default fighting person. Straightforward to play.
8,Priest,Hunter / Caster,You serve an institution - a church a cult a recovered-tech order like the Ethos. Your faith may be genuine political or somewhere between.,Blessed (heal 1d6 + WIS/CHA once per day on touch. d6 rolls for religious lore ceremony faith-based persuasion).,Holy symbol or relic focus. Light armor AR 1. Mace d6 OR pistol d6 (relic - if Ethos-type). Scroll (CURE or HEAL). 1 week rations.,"Hunter: armed minister martial order inquisitor. Caster: miracle-worker channeling divine force. The Ethos church priest is a Hunter with relic tech. The spirit-healer is a Caster."
9,Entertainer,Hunter / Caster,You performed - music dance acrobatics or something stranger. You learned to read crowds manage dangerous people and occasionally vanish when necessary.,Jester (d6 rolls for performance deception reading a crowd. Reroll any single die that affects you once per day).,Instrument (no slots). Dagger d4. Travelling clothes. Disguise kit. 1 week rations. Small purse (<1 treasure).,"Hunter: bard who handles problems with steel wit and presence. Caster: one who weaves magic into performance - illusion mind and sound runes feel natural here."
10,Houseborn,Hunter / Caster,You were raised in a noble household - a great family a merchant dynasty or a powerful guild. You learned politics resource management and how power actually works.,Houseborn (d6 rolls for etiquette negotiation political lore and identifying social hierarchies. +1 to reaction rolls in civilized settings).,Fine clothes (counts as light armor AR 1 in social contexts - people hesitate to strike). Sword d6 OR spellbook (blank). Letter of introduction (opens doors once). 1 week rations.,"Hunter: noble scion trained in arms. Caster: educated in arcane arts as a mark of status. The letter of introduction is a one-use social resource - the referee determines what doors it opens."
11,Mage,Caster,You studied the runic language of the ancients - academically rigorously. You know the theory even where the practice is dangerous.,Academic (d6 rolls for arcane lore history languages and identifying magical effects. WIS score caps spells known as normal but you begin knowing one additional rune).,Spellbook. Staff d6. Travelling robes. Ink and quill. 2 week rations. One Tier 1 rune known of choice + one additional rune of referee's choice from an obscure source.,Caster only. WIS governs MP. Learns new runes through research libraries and old-world inscriptions.
12,Outcast,Hunter / Caster,"You were cast out. Excommunicated from a house, exiled from a community, stripped of rank, or simply fled something that wanted you dead. The reasons are your own. You carry whatever you could take when you left.",Outcast's Eye (2-in-6 to read the social dynamics of any group - who holds power who is afraid who is lying. Hard-won from surviving on the outside). One additional starting talent from your background reflecting what you were before.,"Travelling clothes (worn). One quality item from your former life (weapon tool or symbol of status - worth 1-2 treasure). Dagger d4. 1 week rations. A contact from your former life who owes you or fears you.","Genos-agnostic. A Kith noble exile. A Ctarl shaman driven out by their spirits. A Kreen Pariah. A Goblin who left the colony. The Outcast background works for any genos and any type. The one additional talent represents who you were before - take it from the talent list with referee approval."
